time,geo,tv_ctv_impressions,ooh_impressions,meta_impressions,tiktok_impressions,google_clicks,tv_ctv_spend,ooh_spend,meta_spend,tiktok_spend,google_spend,sales,seas_sin52,seas_cos52,hldy_thanksgiving,hldy_christmas,trend,trend_sq
2020-12-28,national,32453278.83168301,0.0,124651415.59566465,71832813.50879288,298874.14569840993,381810.40007523797,0.0,947949.7767191923,402127.5271778812,740172.3771320515,19819092.482773975,-0.03869579017652689,0.9992510374388481,0,1,0.0,0.0
2021-01-04,national,70886081.6664934,0.0,222816798.79282662,153130931.2471329,305467.2642864219,836368.9323077534,0.0,1777589.7376995755,882131.2556727492,767963.8388801807,35258365.026183665,0.06875540848113941,0.9976335468520451,0,0,1.0,1.0
2021-01-11,national,70494266.45900784,0.0,214878691.0119327,150668202.00231358,334118.69654838747,848207.4953890699,0.0,1612441.82881928,772334.1784482648,775939.0515493839,36704459.97427321,0.18809941761179758,0.9821499931752291,0,0,2.0,4.0
2021-01-18,national,62912438.51883827,0.0,203907931.3991928,137879653.8756536,319566.70711740985,783615.6017134849,0.0,1618559.5406911944,851137.5184394531,775985.250968253,39144442.89424426,0.3047192331091634,0.9524422234305676,0,0,3.0,9.0
2021-01-25,national,64226185.59071474,0.0,222392237.4506615,124926796.1692365,294203.7910897501,742156.9439278255,0.0,1683243.6304070235,755420.784170976,776506.2002694365,39218748.67900048,0.4169258813287287,0.908940487313808,0,0,4.0,16.0
2021-02-01,national,60973104.45208429,0.0,180652657.75920996,126304833.07225735,321271.2273824303,731000.043955295,0.0,1423729.9865408898,711707.3590603602,772171.2867625469,41329493.447740585,0.5230943033491326,0.8522748088519838,0,0,5.0,25.0
2021-02-08,national,72645596.73687427,0.0,229983364.6842349,147212297.02181807,292499.73238071596,773517.8963563635,0.0,1790425.9917419571,824380.1633653765,776344.6795664087,40546343.356650494,0.6216868902665479,0.7832658619336791,0,0,6.0,36.0
2021-02-15,national,65523013.978691705,95264993.96043593,79688790.0557071,167225278.89321405,295922.1301486274,747395.9238778384,457762.993840602,642038.1953901174,1034065.947623933,747929.8653223726,43062107.64687391,0.7112757519738152,0.7029130847082615,0,0,7.0,49.0
2021-02-22,national,72281100.4752361,135692755.7743314,104467748.82466269,210616246.0380763,289748.2645161183,856680.8243287944,673277.786691983,815862.0814544128,1256341.3891797669,753021.6486291257,44562965.03989436,0.7905633969115482,0.612380204990065,0,0,8.0,64.0
2021-03-01,national,65310229.333563335,94310202.27690642,86328536.46229573,180217645.1499596,336031.5032460032,780747.7344345489,456035.43439633114,638052.1191855329,1045646.2783587864,750325.2740070671,42065763.67398521,0.8584015232918917,0.512978386299228,0,0,9.0,81.0
2021-03-08,national,65944886.796111025,96595113.8274972,91475665.04528667,231030221.25187343,299167.7362633263,799641.8497117405,474406.22816229047,763437.7721913313,1275304.5982257405,755383.0352920134,43406861.060613915,0.9138076496466615,0.4061472386305789,0,0,10.0,100.0
2021-03-15,national,47306559.64668106,73342418.96669178,60758435.28255605,145316873.32873052,293990.89838280954,589217.773104721,380903.154710746,508299.5709943831,890154.8693436574,747775.4745507151,43450417.48648691,0.9559793438440766,0.2934339689665273,0,0,11.0,121.0
2021-03-22,national,59075740.523998216,114632504.30381912,75747641.2132319,154868036.9574613,324542.9837631724,704570.9298237279,517935.5067043478,644512.34700824,1023753.8850755638,749548.5201775681,44815814.458180346,0.984305844499033,0.17647097349152166,0,0,12.0,144.0
2021-03-29,national,61226088.46905994,74759275.38197358,80482148.08744727,285532801.6283036,299521.7238659471,779866.3010033964,364065.1566035499,647185.0276571705,1521033.543434834,755365.7224067294,42787478.80695092,0.998376906467142,0.056952196034039754,0,0,13.0,169.0
2021-04-05,national,88439013.31656002,84951108.62047774,89695514.05996004,301527803.52964467,296593.3804950622,1040500.2040741735,441567.6165334843,708455.1386657313,1802615.676033293,756765.3435315579,44594572.10418477,0.9979887423155984,-0.06339140486951038,0,0,14.0,196.0
2021-04-12,national,71638501.36965515,73784820.9856645,65202366.74004835,201373716.0304273,333652.9858025944,732207.4883129796,376846.49210469733,549798.1469204882,1134661.632687631,747476.3636523399,42903941.21757968,0.9831469737221499,-0.1828169249850199,0,0,15.0,225.0
2021-04-19,national,61316670.72139157,106548477.25920698,77944241.83613493,251606184.51015803,309384.27944303834,782980.3498048059,492428.1949153467,597446.1457352976,1393700.4176473464,749069.7994000092,43567574.551950574,0.9540665500578387,-0.2995947563972602,0,0,16.0,256.0
2021-04-26,national,41956521.80136313,57149846.03508225,53258104.99563326,146621913.68842423,289209.4582792853,506769.27812007454,255323.2568075205,410296.00817692233,852526.4648775224,744398.3564640825,43320714.21171733,0.9111686353326631,-0.41203363695942635,0,0,17.0,289.0
2021-05-03,national,46518743.798752286,222180013.90632588,58397665.408498384,209264936.92744786,331213.9565412698,537427.8339036412,1159185.3445843514,490247.9549015794,1234895.174433922,780578.2039344712,42648537.56397041,0.8550745085896932,-0.518505144391157,0,0,18.0,324.0
2021-05-10,national,46633812.090371475,238873074.97103545,61555285.11329098,172064456.58282027,298865.63665610534,589890.2647903218,1100885.7674654962,435244.3492002252,1068331.9843737597,775339.1330633985,43752751.71680521,0.7865965660866021,-0.6174672802835514,0,0,19.0,361.0
2021-05-17,national,40857953.17274193,194470188.77146062,56474745.70380624,184197008.1755511,331262.72467506456,511983.60618710896,1021411.6750809137,455637.26046941924,1103692.3171055843,779660.390326947,45368946.76604031,0.7067265555776159,-0.7074868024503348,0,0,20.0,400.0
2021-05-24,national,41520734.15078575,262347288.7900138,60214156.68583299,223331898.66608676,293811.276309237,474255.3795096296,1332716.7155131495,512364.6374450154,1478583.9809256769,777166.869632137,46077725.85728871,0.6166212130956382,-0.7872599821916922,0,0,21.0,441.0
2021-05-31,national,37754993.79594583,214289875.5937422,51120537.743898615,192516601.21039537,297414.71865049005,483649.97933096,1022800.5900593465,406576.02157166664,1114671.1771095546,772602.0282341063,44882361.31934195,0.5175855102531889,-0.8556314858488706,0,0,22.0,484.0
2021-06-07,national,64887437.10181114,182981978.37659693,101890191.6189918,184456989.83762896,292813.64243265317,800617.6831940367,841967.0897951449,788711.7533408556,1057348.9757186568,728798.4390338953,44041681.307002105,0.4110537546870351,-0.9116111071930239,0,0,23.0,529.0
2021-06-14,national,50804269.69532271,163400733.61476624,91019939.07400161,197653175.02146336,312048.40752468706,655761.1794824284,815717.7962403444,710629.2608228652,1203624.8345768054,728798.4390338953,44896718.81169073,0.2985688173637202,-0.9543881083175908,0,0,24.0,576.0
2021-06-21,national,80246546.10623609,203963554.18577677,87286003.04602166,243699393.808862,294969.91430885537,905737.7494383326,1005416.9085152149,687660.776530293,1369198.1460647848,728798.4390338953,42780787.36586527,0.18175978759137534,-0.9833429613388902,0,0,25.0,625.0
2021-06-28,national,69202356.04752022,187839197.80717134,88599671.8241103,172304294.89604297,302646.98310475546,887941.1765359949,1009740.4753078722,751487.564745144,1020097.2906404997,728798.4390338953,44738954.85957991,0.062318379354325076,-0.998056320853012,0,0,26.0,676.0
2021-07-05,national,46485926.59784814,146904177.65818295,74383211.7440718,140775972.37417623,311739.4811208466,531086.653681888,761120.3914235483,610806.3627440974,793482.2028926929,728798.4390338953,44698732.57077474,-0.05802556932878035,-0.9983150972033183,0,0,27.0,729.0
2021-07-12,national,62787673.510112286,148286505.85865033,65220814.89983764,204268826.21765822,258480.36189156884,745284.9395252075,811807.9054918386,564879.7461051634,1117444.9890191483,728798.4390338953,45301291.044651754,-0.17752914918703497,-0.984115542601034,0,0,28.0,784.0
2021-07-19,national,42508463.98300002,110976608.93995723,58143708.90121129,152555356.5589346,301255.46721318073,535079.7847153987,508675.4094305844,465117.3711131611,898750.9221741958,728798.4390338953,43255767.009598255,-0.2944616217868012,-0.9556633054034704,0,0,29.0,841.0
2021-07-26,national,56679990.42935839,138549356.89860553,73602150.03002399,136539233.49296942,286561.7720451555,624239.611924295,688315.0464716093,591939.723620337,846782.117748371,728798.4390338953,44190004.30092265,-0.4071294853542516,-0.9133704517637858,0,0,30.0,900.0
2021-08-02,national,133261427.71881133,0.0,100189745.86567576,230166866.29320738,277663.9366302796,1456095.5962948166,0.0,782083.5238453925,1356889.0219488884,728798.4390338953,43103801.9092894,-0.5139010013093103,-0.8578494977869301,0,0,31.0,961.0
2021-08-09,national,101189258.48474649,0.0,98006191.27180795,192679470.98420087,285139.8998037442,1210536.803918239,0.0,737276.105895912,1135807.801373185,728798.4390338953,43879009.20449829,-0.6132298262997502,-0.7899045386224707,0,0,32.0,1024.0
2021-08-16,national,104082010.03300056,0.0,88560762.69350289,188128777.12918785,279557.2447916169,1242097.9574517217,0.0,689490.1216988125,1086941.9112621117,728798.4390338953,42975018.624013014,-0.7036774074790128,-0.7105196029692745,0,0,33.0,1089.0
2021-08-23,national,97131627.20222849,0.0,93154828.61368439,222891301.62875873,271855.1258549416,1161377.3426962877,0.0,744691.7547808832,1236729.564984078,728798.4390338953,43413856.31176486,-0.7839338166829201,-0.620844401650647,0,0,34.0,1156.0
