week,brand_counterfactual,true_effect,effect_pct
2021-09-06,1137068.22,0.0,0.0
2021-09-13,1158134.54,0.0,0.0
2021-09-20,1201202.22,0.0,0.0
2021-09-27,1266083.17,0.0,0.0
2021-10-04,1198510.73,0.0,0.0
2021-10-11,1190438.35,0.0,0.0
2021-10-18,1185526.25,0.0,0.0
2021-10-25,1189269.33,0.0,0.0
2021-11-01,1298217.14,0.0,0.0
2021-11-08,1213578.4,0.0,0.0
2021-11-15,1245276.41,0.0,0.0
2021-11-22,1350184.11,0.0,0.0
2021-11-29,1393732.64,0.0,0.0
2021-12-06,1328367.98,0.0,0.0
2021-12-13,1316758.1,0.0,0.0
2021-12-20,1277197.68,0.0,0.0
2021-12-27,1317628.05,0.0,0.0
2022-01-03,1205763.18,0.0,0.0
2022-01-10,1231696.86,0.0,0.0
2022-01-17,1242870.23,0.0,0.0
2022-01-24,1223789.85,0.0,0.0
2022-01-31,1170634.35,0.0,0.0
2022-02-07,1212407.65,0.0,0.0
2022-02-14,1165344.3,0.0,0.0
2022-02-21,1162439.87,0.0,0.0
2022-02-28,1151953.96,0.0,0.0
2022-03-07,1183627.67,0.0,0.0
2022-03-14,1175457.67,0.0,0.0
2022-03-21,1202259.15,0.0,0.0
2022-03-28,1225287.73,0.0,0.0
2022-04-04,1269244.44,0.0,0.0
2022-04-11,1224944.41,0.0,0.0
2022-04-18,1175501.25,0.0,0.0
2022-04-25,1125529.58,0.0,0.0
2022-05-02,1115216.19,0.0,0.0
2022-05-09,1154220.59,0.0,0.0
2022-05-16,1122190.6,0.0,0.0
2022-05-23,1123096.29,0.0,0.0
2022-05-30,1085999.58,0.0,0.0
2022-06-06,1077460.48,0.0,0.0
2022-06-13,1060499.69,0.0,0.0
2022-06-20,1050747.37,0.0,0.0
2022-06-27,1068868.84,0.0,0.0
2022-07-04,1071671.12,0.0,0.0
2022-07-11,1083535.54,0.0,0.0
2022-07-18,1050185.87,0.0,0.0
2022-07-25,1137325.18,0.0,0.0
2022-08-01,1159710.97,0.0,0.0
2022-08-08,1160242.14,0.0,0.0
2022-08-15,1181689.56,0.0,0.0
2022-08-22,1230023.22,0.0,0.0
2022-08-29,1272516.6,0.0,0.0
2022-09-05,1226297.98,0.0,0.0
2022-09-12,1244003.69,0.0,0.0
2022-09-19,1250694.6,0.0,0.0
2022-09-26,1263943.84,0.0,0.0
2022-10-03,1320735.74,0.0,0.0
2022-10-10,1306521.88,0.0,0.0
2022-10-17,1316355.53,0.0,0.0
2022-10-24,1390530.41,0.0,0.0
2022-10-31,1330851.21,0.0,0.0
2022-11-07,1311910.71,0.0,0.0
2022-11-14,1282682.37,0.0,0.0
2022-11-21,1352887.88,0.0,0.0
2022-11-28,1428303.41,0.0,0.0
2022-12-05,1365706.43,0.0,0.0
2022-12-12,1374832.62,0.0,0.0
2022-12-19,1317626.78,0.0,0.0
2022-12-26,1338946.19,0.0,0.0
2023-01-02,1284606.44,0.0,0.0
2023-01-09,1232172.32,0.0,0.0
2023-01-16,1230324.53,0.0,0.0
2023-01-23,1195321.34,0.0,0.0
2023-01-30,1252936.85,0.0,0.0
2023-02-06,1257375.12,0.0,0.0
2023-02-13,1265479.21,0.0,0.0
2023-02-20,1272777.37,0.0,0.0
2023-02-27,1253369.03,0.0,0.0
2023-03-06,1277279.72,0.0,0.0
2023-03-13,1229592.3,0.0,0.0
2023-03-20,1241810.65,0.0,0.0
2023-03-27,1188617.06,0.0,0.0
2023-04-03,1206498.26,0.0,0.0
2023-04-10,1145256.95,0.0,0.0
2023-04-17,1133202.09,0.0,0.0
2023-04-24,1139653.56,0.0,0.0
2023-05-01,1146037.56,0.0,0.0
2023-05-08,1140874.03,0.0,0.0
2023-05-15,1176197.79,0.0,0.0
2023-05-22,1162600.14,0.0,0.0
2023-05-29,1111619.94,0.0,0.0
2023-06-05,1111149.62,0.0,0.0
2023-06-12,1066493.42,0.0,0.0
2023-06-19,1069144.88,0.0,0.0
2023-06-26,1061993.0,0.0,0.0
2023-07-03,1024077.71,0.0,0.0
2023-07-10,977322.74,0.0,0.0
2023-07-17,964065.68,0.0,0.0
2023-07-24,1035702.5,0.0,0.0
2023-07-31,1019965.31,0.0,0.0
2023-08-07,1054781.4,0.0,0.0
2023-08-14,1170529.87,0.0,0.0
2023-08-21,1221183.63,0.0,0.0
2023-08-28,1282505.73,0.0,0.0
2023-09-04,1199097.23,0.0,0.0
2023-09-11,1271848.58,0.0,0.0
2023-09-18,1275566.9,0.0,0.0
2023-09-25,1311075.85,0.0,0.0
2023-10-02,1419939.79,0.0,0.0
2023-10-09,1276116.15,0.0,0.0
2023-10-16,1338184.99,0.0,0.0
2023-10-23,1406619.51,0.0,0.0
2023-10-30,1340858.47,0.0,0.0
2023-11-06,1361873.56,0.0,0.0
2023-11-13,1373372.86,0.0,0.0
2023-11-20,1370783.11,0.0,0.0
2023-11-27,1352270.51,0.0,0.0
2023-12-04,1382263.34,0.0,0.0
2023-12-11,1463423.1,0.0,0.0
2023-12-18,1413135.47,0.0,0.0
2023-12-25,1348164.02,0.0,0.0
2024-01-01,1347984.66,0.0,0.0
2024-01-08,1316146.79,0.0,0.0
2024-01-15,1370579.24,0.0,0.0
2024-01-22,1386846.49,0.0,0.0
2024-01-29,1394504.13,0.0,0.0
2024-02-05,1454258.11,0.0,0.0
2024-02-12,1325865.69,0.0,0.0
2024-02-19,1298472.65,0.0,0.0
2024-02-26,1302227.33,0.0,0.0
2024-03-04,1243239.77,0.0,0.0
2024-03-11,1178513.33,0.0,0.0
2024-03-18,1235490.83,0.0,0.0
2024-03-25,1251952.58,0.0,0.0
2024-04-01,1181716.48,0.0,0.0
2024-04-08,1179597.87,0.0,0.0
2024-04-15,1200183.59,0.0,0.0
2024-04-22,1233680.15,0.0,0.0
2024-04-29,1292506.7,0.0,0.0
2024-05-06,1422116.16,0.0,0.0
2024-05-13,1334607.56,0.0,0.0
2024-05-20,1195427.12,0.0,0.0
2024-05-27,1167866.57,0.0,0.0
2024-06-03,1142695.38,0.0,0.0
2024-06-10,1113868.69,0.0,0.0
2024-06-17,1131749.59,0.0,0.0
2024-06-24,1060790.68,0.0,0.0
2024-07-01,1061143.12,0.0,0.0
2024-07-08,1102868.46,0.0,0.0
2024-07-15,1137527.04,0.0,0.0
2024-07-22,1184013.96,0.0,0.0
2024-07-29,1181147.43,0.0,0.0
2024-08-05,1148943.32,0.0,0.0
2024-08-12,1133752.72,0.0,0.0
2024-08-19,1141619.96,0.0,0.0
2024-08-26,1304425.98,0.0,0.0
2024-09-02,1340791.77,0.0,0.0
2024-09-09,1437277.32,0.0,0.0
2024-09-16,1451225.93,0.0,0.0
2024-09-23,1409905.95,0.0,0.0
2024-09-30,1411020.04,0.0,0.0
2024-10-07,1399568.07,0.0,0.0
2024-10-14,1533010.25,0.0,0.0
2024-10-21,1463921.06,0.0,0.0
2024-10-28,1515191.93,0.0,0.0
2024-11-04,1483922.88,0.0,0.0
2024-11-11,1550933.91,0.0,0.0
2024-11-18,1524581.88,0.0,0.0
2024-11-25,1519804.55,0.0,0.0
2024-12-02,1482413.41,0.0,0.0
2024-12-09,1436132.54,0.0,0.0
2024-12-16,1473006.58,0.0,0.0
2024-12-23,1361824.34,0.0,0.0
2024-12-30,1299432.49,0.0,0.0
2025-01-06,1242465.25,0.0,0.0
2025-01-13,1233743.42,0.0,0.0
2025-01-20,1340488.34,0.0,0.0
2025-01-27,1391124.61,0.0,0.0
2025-02-03,1363189.55,0.0,0.0
