week,expected_sales,sales,campaign_week,true_campaign_lift,sales_with_campaign
2014-01-06,140278.0,140728.0,0,0.0,140728.0
2014-01-13,139347.0,132414.0,0,0.0,132414.0
2014-01-20,138693.0,137798.0,0,0.0,137798.0
2014-01-27,138362.0,135909.0,0,0.0,135909.0
2014-02-03,138389.0,125718.0,0,0.0,125718.0
2014-02-10,138794.0,135997.0,0,0.0,135997.0
2014-02-17,139582.0,139557.0,0,0.0,139557.0
2014-02-24,140746.0,137649.0,0,0.0,137649.0
2014-03-03,142260.0,135138.0,0,0.0,135138.0
2014-03-10,144086.0,144461.0,0,0.0,144461.0
2014-03-17,146171.0,148269.0,0,0.0,148269.0
2014-03-24,148448.0,163054.0,0,0.0,163054.0
2014-03-31,150841.0,160563.0,0,0.0,160563.0
2014-04-07,153264.0,160209.0,0,0.0,160209.0
2014-04-14,155629.0,158491.0,0,0.0,158491.0
2014-04-21,157847.0,164430.0,0,0.0,164430.0
2014-04-28,159839.0,167099.0,0,0.0,167099.0
2014-05-05,161533.0,173502.0,0,0.0,173502.0
2014-05-12,172317.0,176733.0,0,0.0,176733.0
2014-05-19,178070.0,179209.0,0,0.0,179209.0
2014-05-26,164403.0,163718.0,0,0.0,163718.0
2014-06-02,164586.0,171282.0,0,0.0,171282.0
2014-06-09,164420.0,178445.0,0,0.0,178445.0
2014-06-16,163956.0,169051.0,0,0.0,169051.0
2014-06-23,163260.0,165553.0,0,0.0,165553.0
2014-06-30,162405.0,166843.0,0,0.0,166843.0
2014-07-07,161469.0,163981.0,0,0.0,163981.0
2014-07-14,160525.0,169462.0,0,0.0,169462.0
2014-07-21,159644.0,153054.0,0,0.0,153054.0
2014-07-28,158883.0,152162.0,0,0.0,152162.0
2014-08-04,158287.0,151295.0,0,0.0,151295.0
2014-08-11,157887.0,143087.0,0,0.0,143087.0
2014-08-18,157696.0,146095.0,0,0.0,146095.0
2014-08-25,157713.0,148107.0,0,0.0,148107.0
2014-09-01,157919.0,152986.0,0,0.0,152986.0
2014-09-08,158283.0,162102.0,0,0.0,162102.0
2014-09-15,158758.0,158861.0,0,0.0,158861.0
2014-09-22,173216.0,167420.0,0,0.0,167420.0
2014-09-29,159818.0,156690.0,0,0.0,156690.0
2014-10-06,160278.0,164674.0,0,0.0,164674.0
2014-10-13,160607.0,157906.0,0,0.0,157906.0
2014-10-20,160751.0,154852.0,0,0.0,154852.0
2014-10-27,160666.0,161379.0,0,0.0,161379.0
2014-11-03,160323.0,160059.0,0,0.0,160059.0
2014-11-10,159710.0,163936.0,0,0.0,163936.0
2014-11-17,158836.0,161115.0,0,0.0,161115.0
2014-11-24,230490.0,242733.0,0,0.0,242733.0
2014-12-01,222041.0,214868.0,0,0.0,214868.0
2014-12-08,211926.0,209485.0,0,0.0,209485.0
2014-12-15,201342.0,198287.0,0,0.0,198287.0
2014-12-22,109060.0,101149.0,0,0.0,101149.0
2014-12-29,136813.0,120406.0,0,0.0,120406.0
2015-01-05,149396.0,146590.0,0,0.0,146590.0
2015-01-12,148404.0,146197.0,0,0.0,146197.0
2015-01-19,147708.0,141485.0,0,0.0,141485.0
2015-01-26,147356.0,143504.0,0,0.0,143504.0
2015-02-02,147385.0,150499.0,0,0.0,150499.0
2015-02-09,147816.0,136989.0,0,0.0,136989.0
2015-02-16,148655.0,134991.0,0,0.0,134991.0
2015-02-23,149894.0,137840.0,0,0.0,137840.0
2015-03-02,151507.0,151741.0,0,0.0,151741.0
2015-03-09,153451.0,154248.0,0,0.0,154248.0
2015-03-16,155672.0,159844.0,0,0.0,159844.0
2015-03-23,158097.0,154129.0,0,0.0,154129.0
2015-03-30,160645.0,152375.0,0,0.0,152375.0
2015-04-06,163226.0,161745.0,0,0.0,161745.0
2015-04-13,165744.0,165373.0,0,0.0,165373.0
2015-04-20,168107.0,170685.0,0,0.0,170685.0
2015-04-27,170228.0,169953.0,0,0.0,169953.0
2015-05-04,172033.0,172420.0,0,0.0,172420.0
2015-05-11,187558.0,187494.0,0,0.0,187494.0
2015-05-18,185476.0,189165.0,0,0.0,189165.0
2015-05-25,175089.0,181081.0,0,0.0,181081.0
2015-06-01,175284.0,168761.0,0,0.0,168761.0
2015-06-08,175107.0,158163.0,0,0.0,158163.0
2015-06-15,174614.0,171159.0,0,0.0,171159.0
2015-06-22,173872.0,178012.0,0,0.0,178012.0
2015-06-29,172962.0,168385.0,0,0.0,168385.0
2015-07-06,171964.0,158485.0,0,0.0,158485.0
2015-07-13,170959.0,162992.0,0,0.0,162992.0
2015-07-20,170021.0,170538.0,0,0.0,170538.0
2015-07-27,169210.0,178720.0,0,0.0,178720.0
2015-08-03,168576.0,174798.0,0,0.0,174798.0
2015-08-10,168149.0,167215.0,0,0.0,167215.0
2015-08-17,167946.0,160625.0,0,0.0,160625.0
2015-08-24,167964.0,162830.0,0,0.0,162830.0
2015-08-31,168184.0,162227.0,0,0.0,162227.0
2015-09-07,168571.0,158495.0,0,0.0,158495.0
2015-09-14,169077.0,174286.0,0,0.0,174286.0
2015-09-21,180579.0,193825.0,0,0.0,193825.0
2015-09-28,170206.0,181806.0,0,0.0,181806.0
2015-10-05,170696.0,168938.0,0,0.0,168938.0
2015-10-12,171046.0,174033.0,0,0.0,174033.0
2015-10-19,171200.0,174871.0,0,0.0,174871.0
2015-10-26,171109.0,174621.0,0,0.0,174621.0
2015-11-02,170744.0,178921.0,0,0.0,178921.0
2015-11-09,170092.0,176708.0,0,0.0,176708.0
2015-11-16,169160.0,179242.0,0,0.0,179242.0
2015-11-23,244525.0,261443.0,0,0.0,261443.0
2015-11-30,206337.0,218427.0,0,0.0,218427.0
2015-12-07,203968.0,188586.0,0,0.0,188586.0
2015-12-14,230671.0,223033.0,0,0.0,223033.0
2015-12-21,122682.0,117084.0,0,0.0,117084.0
2015-12-28,150140.0,135745.0,0,0.0,135745.0
2016-01-04,159107.0,167621.0,0,0.0,167621.0
2016-01-11,158050.0,172226.0,0,0.0,172226.0
2016-01-18,157309.0,172327.0,0,0.0,172327.0
2016-01-25,156934.0,165529.0,0,0.0,165529.0
